,id,name,price,stock,Variations,Category,Brand,Description
0,1,RUDE Star Party Liquid Eyeshadow,750,817 In Stock,Select Shade/Color, Eye Makeup, RUDE® ,"
	Ingredients: Aqua, Polyvinyl Alcohol, Propylene Glycol, Glycerin, Hydroxypropyl Guar, Hydroxyethyl Cellulose, Carbomer, Triethanolamine, Phenoxyethanol. May Contain: CI77019, CI15850, CI77491, CI77492, CI77499, CI77891."
1,1,RUDE Star Party Liquid Eyeshadow,750,817 In Stock,Galactic Voyage, Eye Makeup, RUDE® ,"
	Ingredients: Aqua, Polyvinyl Alcohol, Propylene Glycol, Glycerin, Hydroxypropyl Guar, Hydroxyethyl Cellulose, Carbomer, Triethanolamine, Phenoxyethanol. May Contain: CI77019, CI15850, CI77491, CI77492, CI77499, CI77891."
2,1,RUDE Star Party Liquid Eyeshadow,750,817 In Stock,Steller, Eye Makeup, RUDE® ,"
	Ingredients: Aqua, Polyvinyl Alcohol, Propylene Glycol, Glycerin, Hydroxypropyl Guar, Hydroxyethyl Cellulose, Carbomer, Triethanolamine, Phenoxyethanol. May Contain: CI77019, CI15850, CI77491, CI77492, CI77499, CI77891."
3,1,RUDE Star Party Liquid Eyeshadow,750,817 In Stock,Star Child, Eye Makeup, RUDE® ,"
	Ingredients: Aqua, Polyvinyl Alcohol, Propylene Glycol, Glycerin, Hydroxypropyl Guar, Hydroxyethyl Cellulose, Carbomer, Triethanolamine, Phenoxyethanol. May Contain: CI77019, CI15850, CI77491, CI77492, CI77499, CI77891."
4,1,RUDE Star Party Liquid Eyeshadow,750,817 In Stock,Supernova, Eye Makeup, RUDE® ,"
	Ingredients: Aqua, Polyvinyl Alcohol, Propylene Glycol, Glycerin, Hydroxypropyl Guar, Hydroxyethyl Cellulose, Carbomer, Triethanolamine, Phenoxyethanol. May Contain: CI77019, CI15850, CI77491, CI77492, CI77499, CI77891."
5,1,RUDE Star Party Liquid Eyeshadow,750,817 In Stock,After Glow, Eye Makeup, RUDE® ,"
	Ingredients: Aqua, Polyvinyl Alcohol, Propylene Glycol, Glycerin, Hydroxypropyl Guar, Hydroxyethyl Cellulose, Carbomer, Triethanolamine, Phenoxyethanol. May Contain: CI77019, CI15850, CI77491, CI77492, CI77499, CI77891."
6,1,RUDE Star Party Liquid Eyeshadow,750,817 In Stock,Zodiac Dreams, Eye Makeup, RUDE® ,"
	Ingredients: Aqua, Polyvinyl Alcohol, Propylene Glycol, Glycerin, Hydroxypropyl Guar, Hydroxyethyl Cellulose, Carbomer, Triethanolamine, Phenoxyethanol. May Contain: CI77019, CI15850, CI77491, CI77492, CI77499, CI77891."
7,1,RUDE Star Party Liquid Eyeshadow,750,817 In Stock,Come Beam, Eye Makeup, RUDE® ,"
	Ingredients: Aqua, Polyvinyl Alcohol, Propylene Glycol, Glycerin, Hydroxypropyl Guar, Hydroxyethyl Cellulose, Carbomer, Triethanolamine, Phenoxyethanol. May Contain: CI77019, CI15850, CI77491, CI77492, CI77499, CI77891."
8,1,RUDE Star Party Liquid Eyeshadow,750,817 In Stock,Starburst, Eye Makeup, RUDE® ,"
	Ingredients: Aqua, Polyvinyl Alcohol, Propylene Glycol, Glycerin, Hydroxypropyl Guar, Hydroxyethyl Cellulose, Carbomer, Triethanolamine, Phenoxyethanol. May Contain: CI77019, CI15850, CI77491, CI77492, CI77499, CI77891."
9,1,RUDE Star Party Liquid Eyeshadow,750,817 In Stock,Solstice, Eye Makeup, RUDE® ,"
	Ingredients: Aqua, Polyvinyl Alcohol, Propylene Glycol, Glycerin, Hydroxypropyl Guar, Hydroxyethyl Cellulose, Carbomer, Triethanolamine, Phenoxyethanol. May Contain: CI77019, CI15850, CI77491, CI77492, CI77499, CI77891."
